锶	字
1个	一个，一个
2个	放弃
3个	能力
4个	有能力的
5个	关于
6个	以上
7	国外
8个	绝对
9	绝对地
10	学术的
11	接受
12	可接受的
13	使用权
14	事故
15	住宿
16	陪伴
17	根据
18	帐户
19	准确的
20	指控
21	达到
22	成就
23	承认
24	获得
25	穿过
26	行为
27	行动
28	积极的
29	活动
30	演员
31	演员
32	实际的
33	实际上
34	广告
35	适应
36	添加
37	添加
38	额外的
39	地址
40	行政
41	钦佩
42	承认
43	采纳
44	成人
45	进步
46	先进的
47	优势
48岁	冒险
49	广告
50	广告
51	广告
52	建议
53	事务
54	影响
55	买得起
56	害怕
57	后
58	下午
59	然后
60	再次
61	反对
62	年龄
63	年迈的
64	机构
65	议程
66	代理人
67	挑衅的
68	前
69	同意
70	协议
71	啊
72	先
73	援助
74	目标
75	空气
76	飞机
77	航空公司
78	飞机场
79	警报
80	专辑
81	酒精
82	酒鬼
83	活
84	全部
85	好的
86	允许
87	几乎
88	独自的
89	沿着
90后	已经
91	还
92	改变
93	选择
94	虽然
95	总是
96	惊讶
97	惊人
98	志向
99	雄心勃勃的
100	之中
101	数量
102	分析
103	分析
104	古老的
105	和
106	愤怒
107	角度
108	生气的
109	动物
110	踝
111	周年纪念日
112	宣布
113	公告
114	惹恼
115	生气
116	恼人的
117	年度的
118	其他
119	回答
120	焦虑的
121	任何
122	任何人
123	任何更多
124	任何人
125	任何事物
126	反正
127	任何地方
128	分开
129	公寓
130	道歉
131	应用程序
132	明显的
133	显然
134	上诉
135	出现
136	外貌
137	苹果
138	应用
139	申请
140	预约
141	欣赏
142	方法
143	合适的
144	赞同
145	批准
146	大约
147	四月
148	建筑师
149	建筑学
150	区域
151	争论
152	争论
153	出现
154	手臂
155	武装的
156	武器
157	军队
158	大约
159	安排
160	安排
161	逮捕
162	到达
163	到达
164	艺术
165	文章
166	人造的
167	艺术家
168	艺术的
169	作为
170	羞愧
171	睡着了
172	问
173	方面
174	评估
175	评估
176	任务
177	助攻
178	助手
179	联系
180	联系
181	协会
182	认为
183	在
184	运动员
185	气氛
186	附
187	攻击
188	试图
189	参加
190	注意力
191	态度
192	吸引
193	吸引力
194	吸引人的
195	观众
196	八月
197	姨
198	作者
199	权威
200	秋天
201	可用的
202	平均
203	避免
204	奖
205	知道的
206	离开
207	可怕
208	婴儿
209	背部
210	背景
211	向后
212	细菌
213	坏的
214	严重
215	包
216	烤
217	平衡
218	球
219	禁止
220	香蕉
221	乐队
222	银行（钱）
223	岸（河）
224	酒吧
225	障碍
226	根据
227	棒球
228	基于
229	篮球
230	基本的
231	基本上
232	基础
233	洗澡
234	浴室
235	电池
236	战斗
237	是
238	海滩
239	豆
240	承担（应对）
241	熊（动物）
242	打
243	美丽的
244	美丽
245	因为
246	变得
247	床
248	卧室
249	蜜蜂
250	牛肉
251	啤酒
252	前
253	求
254	开始
255	开始
256	表现
257	行为
258	在后面
259	存在
260	信仰
261	相信
262	钟
263	属于
264	以下
265	腰带
266	弯曲
267	益处
268	弯曲
269	最好的
270	赌注
271	更好的
272	之间
273	超过
274	自行车
275	大的
276	自行车
277	账单
278	亿数
279	垃圾桶
280	生物学
281	鸟
282	诞生
283	生日
284	饼干
285	少量
286	咬
287	苦的
288	黑色的
289	责备
290	空白的
291	瞎的
292	堵塞
293	博客
294	金发女郎
295	血液
296	吹
297	蓝色的
298	木板
299	船
300	身体
301	熬
302	炸弹
303	纽带
304	骨
305	书
306	开机
307	边界
308	无聊的
309	无聊的
310	出生
311	借
312	老板
313	两个都
314	打扰
315	瓶子
316	底部
317	碗
318	盒子
319	男生
320	男朋友
321	脑
322	分支
323	牌
324	勇敢的
325	面包
326	休息
327	早餐
328	胸部
329	呼吸
330	呼吸
331	呼吸
332	新娘
333	桥
334	简短的
335	明亮的
336	杰出的
337	带来
338	广阔
339	播送
340	破碎的
341	兄弟
342	棕色的
343	刷子
344	气泡
345	预算
346	建造
347	建造
348	子弹
349	束
350	烧伤
351	埋葬
352	公共汽车
353	衬套
354	商业
355	商人
356	忙碌的
357	但
358	牛油
359	按钮
360	买
361	经过
362	再见
363	电缆
364	咖啡店
365	蛋糕
366	计算
367	称呼
368	冷静的
369	相机
370	营
371	活动
372	野营
373	校园
374	可以1
375	CAN2
376	取消
377	癌症
378	候选人
379	不能
380	帽
381	有能力的
382	容量
383	首都
384	队长
385	捕获
386	车
387	卡片
388	关心
389	职业
390	小心
391	小心
392	粗心
393	地毯
394	萝卜
395	携带
396	卡通片
397	案子
398	现金
399	投掷
400	城堡
401	猫
402	抓住
403	类别
404	原因
405	光盘
406	天花板
407	庆祝
408	庆典
409	名人
410	细胞
411	分
412	中央
413	中心
414	世纪
415	仪式
416	肯定
417	当然
418	链
419	椅子
420	主席
421	挑战
422	冠军
423	机会
424	改变
425	渠道
426	章节
427	特点
428	特征
429	收费
430	慈善机构
431	图表
432	聊天
433	便宜的
434	欺骗
435	查看
436	厨师
437	愉快
438	起司
439	化学品
440	化学
441	胸部
442	鸡
443	首席
444	孩子
445	童年
446	芯片
447	巧克力
448	选择
449	选择
450	教会
451	香烟
452	电影
453	圆圈
454	环境
455	引用
456	公民
457	城市
458	民间的
459	宣称
460	班级
461	经典的
462	古典
463	课堂
464	条款
465	干净的
466	清除
467	清楚地
468	聪明的
469	点击
470	客户
471	气候
472	爬
473	钟
474	关闭1
475	关闭2
476	关闭
477	密切
478	布
479	衣服
480	衣服
481	云
482	俱乐部
483	线索
484	教练
485	煤炭
486	海岸
487	外套
488	代码
489	咖啡
490	硬币
491	寒冷的
492	坍塌
493	同事
494	搜集
495	收藏
496	大学
497	颜色
498	有色
499	柱子
500	组合
501	结合
502	来
503	喜剧
504	舒适
505	舒服的
506	命令
507	评论
508	商业的
509	委员会
510	犯罪
511	承诺
512	委员会
513	常见的
514	通常
515	交流
516	沟通
517	社区
518	公司
519	相比
520	比较
521	竞争
522	竞赛
523	竞争者
524	竞争的
525	投诉
526	抱怨
527	完全的
528	完全地
529	复杂的
530	复杂
531	零件
532	计算机
533	集中
534	专注
535	概念
536	关心
537	担心的
538	音乐会
539	得出结论
540	结论
541	（健康）状况
542	执行
543	会议
544	信心
545	自信的
546	确认
547	冲突
548	迷惑
549	使困惑
550	令人困惑
551	连接
552	连接的
553	联系
554	有意识的
555	结果
556	保守的
557	考虑
558	考虑
559	组成
560	持续的
561	持续的
562	不断地
563	构造
564	建造
565	消耗
566	消费者
567	接触
568	包含
569	容器
570	当代的
571	内容1
572	比赛
573	语境
574	大陆
575	继续
576	连续的
577	合同
578	对比
579	贡献
580	贡献
581	控制
582	方便的
583	对话
584	兑换
585	说服
586	深信不疑
587	厨师
588	炊具
589	烹饪
590	凉爽的
591	复制
592	核
593	角落
594	公司的
595	正确的
596	正确地
597	成本
598	戏服
599	小屋
600	棉布
601	可以
602	理事会
603	数数
604	国家
605	农村
606	县
607	夫妻
608	勇气
609	课程
610	法庭
611	表哥
612	覆盖
613	覆盖
614	奶牛
615	碰撞
616	疯狂的
617	奶油
618	创造
619	创建
620	有创造力的
621	生物
622	信用
623	全体人员
624	犯罪
625	刑事
626	危机
627	标准
628	评论家
629	批判的
630	批评
631	批评
632	庄稼
633	叉
634	人群
635	挤
636	至关重要的
637	残忍的
638	哭
639	文化
640	文化
641	杯子
642	橱柜
643	治愈
644	卷曲
645	货币
646	当前的
647	目前
648	窗帘
649	曲线
650	弯曲
651	风俗
652	顾客
653	切
654	循环
655	爸爸
656	日常的
657	损害
658	舞蹈
659	舞蹈家
660	跳舞
661	危险
662	危险的
663	黑暗的
664	数据
665	日期
666	女儿
667	天
668	死的
669	交易
670	亲
671	死亡
672	辩论
673	债务
674	十年
675	十二月
676	体面的
677	决定
678	决定
679	宣布
680	衰退
681	装饰
682	装饰
683	减少
684	深的
685	深
686	打败
687	防御
688	防守
689	定义
690	定
691	确实
692	定义
693	程度
694	延迟
695	商榷
696	故意地
697	可口的
698	喜
699	高兴极了
700	递送
701	送货
702	要求
703	证明
704	牙医
705	否定
706	部
707	离开
708	依靠
709	郁闷
710	沉闷
711	深度
712	描述
713	描述
714	沙漠
715	应得
716	设计
717	设计师
718	欲望
719	桌子
720	绝望的
721	尽管
722	目的地
723	破坏
724	细节
725	详细的
726	探测
727	侦探
728	决定
729	决定
730	开发
731	发展
732	设备
733	图表
734	对话
735	钻石
736	日记
737	字典
738	死
739	饮食
740	区别
741	不同的
742	不同的
743	难的
744	困难
745	挖
746	数字的
747	晚餐
748	直接的
749	方向
750	直接地
751	导向器
752	污垢
753	肮脏的
754	劣势
755	不同意
756	消失
757	失望的
758	令人失望
759	灾难
760	光盘
761	纪律
762	折扣
763	发现
764	发现
765	讨论
766	讨论
767	疾病
768	盘子
769	不诚实
770	不喜欢
771	解雇
772	展示
773	距离
774	分发
775	分配
776	区
777	划分
778	分配
779	离婚的
780	做1
781	医生
782	文档
783	记录
784	狗
785	美元
786	国内的
787	支配
788	捐
789	门
790	双倍的
791	_
792	怀疑
793	下
794	下载
795	楼下
796	向下
797	打
798	草稿
799	拖
800	戏剧
801	戏剧性
802	画
803	绘画
804	梦
805	裙子
806	穿着
807	喝
808	驾驶
809	司机
810	驾驶
811	降低
812	药品
813	鼓
814	醉
815	干燥
816	到期的
817	期间
818	灰尘
819	责任
820	DVD
821	每个
822	耳朵
823	早期的
824	赚
825	地球
826	地震
827	容易地
828	东
829	东
830	简单的
831	吃
832	经济的
833	经济
834	边缘
835	编辑
836	版
837	编辑
838	教育
839	受过教育的
840	教育
841	有教育意义的
842	影响
843	有效的
844	有效
845	高效的
846	努力
847	蛋
848	八
849	十八
850	八十
851	任何一个
852	老年
853	选
854	选举
855	电的
856	电气
857	电
858	电子的
859	元素
860	大象
861	十一
862	别的
863	别处
864	电子邮件
865	尴尬的
866	尴尬的
867	出现
868	紧急情况
869	感情
870	情绪化的
871	强调
872	强调
873	采用
874	员工
875	雇主
876	就业
877	空的
878	使能够
879	遇到
880	鼓励
881	结尾
882	结尾
883	敌人
884	活力
885	从事
886	已订婚的
887	引擎
888	工程师
889	工程
890	提高
891	请享用
892	巨大的
893	足够的
894	询问
895	确保
896	进入
897	招待
898	娱乐
899	热情
900	热情的
901	全部的
902	完全
903	入口
904	入口
905	环境
906	环境的
907	插曲
908	平等的
909	一样
910	设备
911	错误
912	逃脱
913	尤其
914	散文
915	基本的
916	建立
917	财产
918	估计
919	道德的
920	欧元
921	评估
922	甚至
923	晚上
924	事件
925	最终
926	曾经
927	每一个
928	大家
929	每天
930	每个人
931	一切
932	到处
933	证据
934	邪恶的
935	精确的
936	确切地
937	考试
938	考试
939	检查
940	例子
941	出色的
942	除了
943	交换
944	兴奋的
945	激动
946	激动人心的
947	借口
948	行政人员
949	锻炼
950	展览
951	存在
952	存在
953	扩张
954	预计
955	期待
956	预期的
957	远征
958	费用
959	昂贵的
960	经验
961	有经验的
962	实验
963	专家
964	解释
965	解释
966	爆炸
967	勘探
968	探索
969	爆炸
970	出口
971	暴露
972	表示
973	表达
974	延长
