एसआर	शब्दों
1	ए, ए
2	छोड़ देना
3	योग्यता
4	काबिल
5	के बारे में
6	के ऊपर
7	विदेश
8	शुद्ध
9	बिल्कुल
10	शैक्षिक
1 1	मानना
12	स्वीकार्य
13	पहुँच
14	दुर्घटना
15	निवास स्थान
16	साथ
17	के अनुसार
18	खाता
19	सटीक
20	आरोप
21	प्राप्त करना
22	उपलब्धि
23	स्वीकार करना
24	अधिग्रहण करना
25	आर-पार
26	कार्यवाही करना
27	गतिविधि
28	सक्रिय
29	गतिविधि
30	अभिनेता
31	अभिनेत्री
32	वास्तविक
33	वास्तव में
34	विज्ञापन
35	अनुकूल बनाना
36	जोड़ें
37	योग
38	अतिरिक्त
39	पता
40	प्रशासन
41	प्रशंसा करना
42	भर्ती होना
43	गोद लेना
44	वयस्क
45	अग्रिम
46	विकसित
47	फ़ायदा
48	साहसिक काम
49	विज्ञापित
50	विज्ञापन
51	विज्ञापन देना
52	सलाह
53	चक्कर
54	प्रभावित करना
55	खर्च वहन करना
56	डरना
57	बाद में
58	दोपहर बाद
59	उसके बाद
60	फिर से
61	के खिलाफ
62	आयु
63	वृद्ध
64	एजेंसी
65	कार्यसूची
66	प्रतिनिधि
67	आक्रामक
68	पहले
69	सहमत होना
70	समझौता
71	एएच
72	आगे
73	सहायता
74	उद्देश्य
75	वायु
76	हवाई जहाज
77	एयरलाइन
78	हवाई अड्डा
79	खतरे की घंटी
80	एल्बम
81	शराब
82	मादक
83	जीवित
84	सब
85	ठीक है
86	अनुमति
87	लगभग
88	अकेला
89	साथ-साथ
90	पहले से ही
91	भी
92	बदलने
93	विकल्प
94	यद्यपि
95	हमेशा
96	हैरान
97	अद्भुत
98	महत्वाकांक्षा
99	महत्वाकांक्षी
100	के बीच
101	रकम
102	विश्लेषण
103	विश्लेषण
104	प्राचीन
105	तथा
106	क्रोध
107	कोण
108	नाराज़
109	जानवर
110	टखना
111	सालगिरह
112	की घोषणा
113	घोषणा
114	चिढ़ाना
115	नाराज हो
116	चिढ़ पैदा करने वाला
117	सालाना
118	दूसरा
119	उत्तर
120	चिंतित
121	कोई
122	कोई
123	इसके बाद
124	किसी को
125	कुछ भी
126	वैसे भी
127	कहीं भी
128	अलग
129	अपार्टमेंट
130	क्षमा मांगना
131	अनुप्रयोग
132	प्रकट
133	जाहिरा तौर पर
134	अपील करना
