Sr	Palavras
1	um, um
2	abandono
3	habilidade
4	capaz
5	cerca de
6	acima de
7	fora do país
8	absoluto
9	absolutamente
10	acadêmico
11	aceitar
12	aceitável
13	Acesso
14	acidente
15	alojamento
16	acompanhar
17	de acordo com
18	conta
19	exato
20	acusar
21	alcançar
22	conquista
23	reconhecer
24	adquirir
25	através
26	Aja
27	ação
28	ativo
29	atividade
30	ator
31	atriz
32	real
33	na realidade
34	de Anúncios
35	adaptar
36	adicionar
37	Adição
38	adicional
39	Morada
40	administração
41	admirar
42	Admitem
43	adotar
44	adulto
45	Avançar
46	Avançado
47	Vantagem
48	Aventura
49	Anunciar
50	Propaganda
51	Publicidade
52	Adendo
53	caso
54	afetar
55	proporcionar
56	com medo
57	depois
58	tarde
59	mais tarde
60	novamente
61	contra
62	era
63	envelhecido
64	agência
65	agenda
66	agente
67	agressivo
68	atrás
69	aceita
70	acordo
71	ah
72	à frente
73	ajuda
74	mirar
75	ar
76	aeronave
77	CIA aérea
78	aeroporto
79	alarme
80	álbum
81	álcool
82	alcoólico
83	vivo
84	tudo
85	tudo bem
86	permitir
87	quase
88	sozinho
89	ao longo
90	já
91	também
92	alterar
93	alternativo
94	Apesar
95	sempre
96	espantado
97	incrível
98	ambição
99	ambicioso
100	dentre
101	quantia
102	analisar
103	análise
104	antigo
105	e
106	raiva
107	ângulo
108	Bravo
109	animal
110	tornozelo
111	aniversário
112	anunciar
113	anúncio
114	incomodar
115	incomodado
116	chato
117	anual
118	outro
119	responda
120	ansioso
121	algum
122	qualquer pessoa
123	não mais
124	alguém
125	nada
126	de qualquer forma
127	qualquer lugar
128	separado
129	apartamento
130	desculpar-se
131	aplicativo
132	aparente
133	aparentemente
134	apelo
135	aparecer
136	aparência
137	maçã
138	inscrição
139	Aplique
140	compromisso
141	apreciar
142	abordagem
143	apropriado
144	aprovação
145	aprovar
146	aproximadamente
147	abril
148	arquiteto
149	arquitetura
150	área
151	argumentar
152	argumento
153	surgir
154	braço
155	armado
156	braços
157	exército
158	por aí
159	arranjo
160	arranjo
161	prender prisão
162	chegada
163	chegar
164	arte
165	artigo
166	artificial
167	artista
168	artístico
169	Como
170	envergonhado
171	dormindo
172	perguntar
173	aspecto
174	avaliar
175	avaliação
176	atribuição
177	ajudar
178	assistente
179	associado
180	associado
181	Associação
182	presumir
183	no
184	atleta
185	atmosfera
186	anexar
187	ataque
188	tentar
189	participar
190	atenção
191	atitude
192	atrai
193	atração
194	atraente
195	público
196	Agosto
197	tia
198	autor
199	autoridade
200	outono
201	acessível
202	média
203	evitar
204	prêmio
205	consciente
206	um jeito
207	horrível
208	bebê
209	de volta
210	fundo
211	para trás
212	bactérias
213	mau
214	seriamente
215	sacola
216	assar
217	Saldo
218	bola
219	banimento
220	banana
221	banda
222	banco (dinheiro)
223	banco (rio)
224	bar
225	barreira
226	base
227	beisebol
228	Sediada
229	basquetebol
230	básico
231	basicamente
232	base
233	banho
234	banheiro
235	bateria
236	batalha
237	ser
238	de praia
239	feijão
240	urso (lidar com)
241	animal Urso)
242	bater
243	lindo
244	beleza
245	Porque
246	vir a ser
247	cama
248	quarto
249	abelha
250	carne
251	Cerveja
252	antes da
253	implorar
254	começar
255	começo
256	comporte-se
257	comportamento
258	atras do
259	ser
260	crença
261	acreditam
262	Sino
263	pertencer
264	abaixo de
265	cinto
266	dobrar
267	beneficiar
268	dobrado
269	melhor
270	aposta
271	Melhor
272	entre
273	além
274	bicicleta
275	grande
276	bicicleta
277	conta
278	número de bilhões
279	lixeira
280	biologia
281	pássaro
282	nascimento
283	aniversário
284	bolacha
285	pedaço
286	morder
287	amargo
288	Preto
289	culpa
290	em branco
291	cego
292	quadra
293	blogue
294	Loiras
295	sangue
296	golpe
297	azul
298	quadro
299	barco
300	corpo
301	ferver
302	bombear
303	ligação
304	osso
305	livro
306	bota
307	fronteira
308	entediado
309	tedioso
310	nascido
311	pedir emprestado
312	chefe
313	Ambas
314	irmão
315	garrafa
316	fundo
317	tigela
318	caixa
319	Garoto
320	namorado
321	cérebro
322	ramo
323	marca
324	corajoso
325	pão
326	parar
327	café da manhã
328	seios
329	respiração
330	respirar
331	respirando
332	noiva
333	ponte
334	apresentação
335	brilhante
336	brilhante
337	trazer
338	largo
339	transmissão
340	quebrado
341	irmão
